1995,Vans Cargo Type,1
1995,Small Pickup Trucks,22
1995,Small Station Wagons,25
1995,Standard Pickup Trucks,179
1995,Special Purpose Vehicles,125
1995,Standard Pickup Trucks 4WD,1
1995,Standard Pickup Trucks/2wd,4
1995,Special Purpose Vehicle 2WD,1
1995,Special Purpose Vehicle 4WD,4
1995,Midsize-Large Station Wagons,39
1996,Vans,48
1996,Large Cars,43
1996,Two Seaters,27
1996,Compact Cars,128
1996,Midsize Cars,75
1996,Subcompact Cars,121
1996,Minicompact Cars,23
1996,Small Pickup Trucks,17
1996,Small Station Wagons,21
1996,Standard Pickup Trucks,115
1996,Special Purpose Vehicles,126
1996,Midsize-Large Station Wagons,29
1997,Vans,46
1997,Large Cars,39
1997,Two Seaters,28
1997,Compact Cars,119
1997,Midsize Cars,82
1997,Subcompact Cars,117
1997,Minicompact Cars,30
1997,Small Pickup Trucks,15
1997,Small Station Wagons,18
1997,Standard Pickup Trucks,104
1997,Small Pickup Trucks 2WD,2
1997,Special Purpose Vehicles,139
1997,Special Purpose Vehicle 4WD,1
1997,Midsize-Large Station Wagons,18
1997,Special Purpose Vehicles/2wd,2
1997,Special Purpose Vehicles/4wd,2
1998,Large Cars,33
1998,Two Seaters,28
1998,Compact Cars,116
1998,Midsize Cars,97
1998,Subcompact Cars,126
1998,Minicompact Cars,26
1998,Vans Cargo Type,21
1998,Small Station Wagons,23
1998,Vans Passenger Type,17
1998,Midsize Station Wagons,25
1998,Small Pickup Trucks 2WD,20
1998,Standard Pickup Trucks 2WD,61
1998,Standard Pickup Trucks 4WD,50
1998,Special Purpose Vehicle 2WD,84
1998,Special Purpose Vehicle 4WD,85
1999,Large Cars,32
1999,Two Seaters,33
1999,Compact Cars,127
1999,Midsize Cars,110
1999,Minivan - 2WD,29
1999,Minivan - 4WD,3
1999,Subcompact Cars,116
1999,Minicompact Cars,22
1999,Vans Cargo Type,21
1999,Small Station Wagons,25
1999,Vans Passenger Type,17
1999,Midsize Station Wagons,32
1999,Small Pickup Trucks 2WD,12
1999,Standard Pickup Trucks 2WD,60
1999,Standard Pickup Trucks 4WD,50
